
#ScanTableParameter1
&kV=40	&mA=40
&ScanAxis=M	&ScanMode=Stepscan	
&Start=10.000	&End=120.000	&Step=0.01000	&Time=4.0	&Counts=0
&Speed=0.1	&Area=0.0	&Accu=1
&NoAxis=5
&Axis=O	&Task=GetPosition	&Pos=20.66900	&Ampl=0.000	&Speed=0.0
&Axis=T	&Task=GetPosition	&Pos=21.00600	&Ampl=0.000	&Speed=0.0
&Axis=C	&Task=GetPosition	&Pos=-9.00000	&Ampl=0.000	&Speed=0.0
&Axis=P	&Task=GetPosition	&Pos=0.00000	&Ampl=0.000	&Speed=0.0
&Axis=AC	&Task=GetPosition	&Pos=1.00000	&Ampl=0.000	&Speed=0.0

#Values1
&NoValues=11001
  16.93000	    25.250	
  16.94000	    27.500	
  16.95000	    25.000	
  16.96000	    23.500	
  16.97000	    25.500	
  16.98000	    21.250	
  16.99000	    21.750	
  17.00000	    20.750	
  17.01000	    25.500	
  17.02000	    27.250	
  17.03000	    26.250	
  17.04000	    25.250	
  17.05000	    20.000	
  17.06000	    23.750	
  17.07000	    27.500	
  17.08000	    22.000	
  17.09000	    28.000	
  17.10000	    26.250	
  17.11000	    23.750	
  17.12000	    25.500	
  17.13000	    24.000	
  17.14000	    25.500	
  17.15000	    24.000	
  17.16000	    21.750	
  17.17000	    24.500	
  17.18000	    25.000	
  17.19000	    29.750	
  17.20000	    22.000	
  17.21000	    28.000	
  17.22000	    25.500	
  17.23000	    27.250	
  17.24000	    26.250	
  17.25000	    25.750	
  17.26000	    27.250	
  17.27000	    22.250	
  17.28000	    24.500	
  17.29000	    30.250	
  17.30000	    25.750	
  17.31000	    24.750	
  17.32000	    23.500	
  17.33000	    26.000	
  17.34000	    23.500	
  17.35000	    22.750	
  17.36000	    22.000	
  17.37000	    25.750	
  17.38000	    21.500	
  17.39000	    24.750	
  17.40000	    23.750	
  17.41000	    26.250	
  17.42000	    26.000	
  17.43000	    24.750	
  17.44000	    22.000	
  17.45000	    27.000	
  17.46000	    26.500	
  17.47000	    25.750	
  17.48000	    26.250	
  17.49000	    19.500	
  17.50000	    21.750	
  17.51000	    19.500	
  17.52000	    25.250	
  17.53000	    23.250	
  17.54000	    23.000	
  17.55000	    25.750	
  17.56000	    23.500	
  17.57000	    22.750	
  17.58000	    24.500	
  17.59000	    25.750	
  17.60000	    26.750	
  17.61000	    20.000	
  17.62000	    24.750	
  17.63000	    23.250	
  17.64000	    22.750	
  17.65000	    23.500	
  17.66000	    25.750	
  17.67000	    26.250	
  17.68000	    26.000	
  17.69000	    23.750	
  17.70000	    22.000	
  17.71000	    22.500	
  17.72000	    26.250	
  17.73000	    26.750	
  17.74000	    28.750	
  17.75000	    23.500	
  17.76000	    27.250	
  17.77000	    27.000	
  17.78000	    25.750	
  17.79000	    28.500	
  17.80000	    26.500	
  17.81000	    21.750	
  17.82000	    22.750	
  17.83000	    19.500	
  17.84000	    23.000	
  17.85000	    26.000	
  17.86000	    26.750	
  17.87000	    25.000	
  17.88000	    27.250	
  17.89000	    24.750	
  17.90000	    20.250	
  17.91000	    24.250	
  17.92000	    15.250	
  17.93000	    20.000	
  17.94000	    26.750	
  17.95000	    24.750	
  17.96000	    23.250	
  17.97000	    21.500	
  17.98000	    26.000	
  17.99000	    22.500	
  18.00000	    24.000	
  18.01000	    20.250	
  18.02000	    20.500	
  18.03000	    24.000	
  18.04000	    20.250	
  18.05000	    23.750	
  18.06000	    24.250	
  18.07000	    25.000	
  18.08000	    19.250	
  18.09000	    25.500	
  18.10000	    21.250	
  18.11000	    21.000	
  18.12000	    24.500	
  18.13000	    22.500	
  18.14000	    23.250	
